1	やっぱ,むかつく,めっちゃ	やっぱ会社行くとめっちゃむかつく〜。	NULL		
2	マジ,むかつく	主任以下正社員って、マジむかつく！	NULL		
3	ウザい(うざい),キショ(きしょい)	ウザい、キショい、不細工、マニア系の顔。	NULL		
4	きもい,セクハラ	セクハラオヤジきもいんだよっ！	NULL		
5	ブリブリ	あなたもブリブリブリブリしてんじゃないですわよ	NULL		
6	マジ,ウザい(うざい)	マジウザい！！バカ共が！！	NULL		
7	えぐい	やることもかなりえぐい。	NULL		
8	マジ,むかつく	マジむかつくんだよね。	NULL		
9	マジ,みそ	マジでみそやん　ほんとに僕抜きで皆さん最高！	NULL		
10	痛い	もういやだよー、胃が痛いーーーーーーーー。	NULL		
11	逆ナン,やり逃げ	こげな美痴女に逆ナンやり逃げされたいよ(*´∀｀*)	NULL	(*´∀｀*)	
12	マジ,むかつく	マジむかつく野郎だ。	NULL		
13	マジ,むかつく	なにからなにまでマジむかつく！	NULL		
14	ピーピー	あいつはどうでもいいことでいっつもピーピーとうるさい。	NULL		
15	マジ,むかつく	マジむかつく〜	NULL		
16	ドタキャン,チョー(超)	１８日だってコンサートあったんだけど（チョー演歌だけど）皆さんに会いたくてドタキャン（ちょっと惜しかった）しかし、それ以上の価値をもらいましたね。	NULL		
17	マジ,むかつく	マジむかつく！！	NULL		
18	ドロン,キモイ(きもい)	目がドロンとしていてキモイ！	NULL		
19	セレブ	僕の隣にセレブな女性とかわいい子座ってたよ?あれは姫ママですね！	NULL		
20	つーか,マジ	つーかマジ勘弁してほしいよ。	NULL		
21	お兄系,ギャル男,オタク	もう全然ギャル男でもお兄系でもないです。ただのオタクです。	NULL		
22	むかつく	しかし、やっぱりむかつくぜー！！！	NULL		
23	卒サラ,ラブリー	いつも前向きでラブリー♪な卒サラさん応援してますよ?	NULL		
24	自己中,ウザったい	シェリルの嫌らしい下品さとかランカのウザったい自己中さとか、ヒロイン二人のマイナス点がかなり消えてたのは賛否両論あるだろうが自分はいいと思う。	NULL		
25	早朝族	仕方なく、早朝族になるか・・・いや、待てよ？ナイターが無くなると言う事は・・・早朝も無いってこと？	NULL		
26	カラーギャング	今時カラーギャングか	NULL		
27	寝落ち	昨日の夜は寝落ちしてしまいました(_;)ソファーで寝てしまったので体ガタガタ(;_;)天気いいし、ちょっと出かけようかな(o)	NULL	(_;)$(;_;)$(o)	
28	カニカマ,ローテ,ガングロ	体によさそうなので、カニカマとローテがいいかもしれませんね(笑)久々のガングロちゃん。さらにパワーアップ?!	NULL	(笑)	
29	オファー	町田ゼルビアがゴンに正式オファー	NULL		
30	ポチる	んじゃーポチるまで・・・楽天徘徊しようかな。	NULL		
31	ヤン車	それはもうエレクトリカルパレードかと見まごうほどの電飾をつけたヤン車が列をなすのかと。	NULL		
32	うっとい	無い物ねだりってのはうっといねぇ。	NULL		
33	コスプレ	誰のコスプレってなるしな（笑）早希ちゃん後ろ姿までかわいいな。	NULL	（笑）	
34	ボコられ(ボコる)	対戦はキャサリンにボコられた。	NULL		
35	チョベリバ	では何がチョベリバなのか？	NULL		
36	ポチる	最近はパーツ選び⇒寝不足⇒朝起きれないという悪循環。今日はポチるまで寝ないぞ！	NULL		
37	ダイエッター	本物のダイエッター向け肉まん発見！	NULL		
38	安全牌	できなきゃ安全牌なレベルの公立受けろ！	NULL		
39	ウザい(うざい)	長キョン派にとっては、ウザい以外の何者でもありません	NULL		
40	盛り師,写メ	今ステージ袖で最後の出番を待ってます来てる人は分かると思いますが今盛り師もびっくりなBIGヘアになってるので頭の装飾品のせいで首がこってしかたないですでもすごいよ後で写メのせるね。	NULL		
41	むかつく,いらつく	むかつくというか、いらつくというか……	NULL		
42	オタカラ	まさにオタカラ！！	NULL		
43	うほっ	結果は、優勝！(・∀・)うほっうほっ	NULL	(・∀・)	
44	っぱ,グダる	やっぱ７時飲みは、グダるねぇ。	NULL		
45	きもい	きもいよ本当に！	NULL		
46	むかつく	ほんと、むかつく！	NULL		
